FirstName;LastName;Team;Webpage;Img;Number;Position;Shoots;Height;Weight;Birthdate;Hometown
Logan;O'Connor;Avalanche;https://www.nhl.com/player/logan-o-connor-8481186;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8481186.jpg;25;RW;R;"6'0""";175;08/14/96;Missouri City, TX, USA
Mikko;Rantanen;Avalanche;https://www.nhl.com/player/mikko-rantanen-8478420;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478420.jpg;96;RW;L;"6'4""";215;10/29/96;Nousiainen, FIN
T.J.;Tynan;Avalanche;https://www.nhl.com/player/t-j-tynan-8476391;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476391.jpg;36;C;R;"5'8""";165;02/25/92;Orland Park, IL, USA
Colin;Wilson;Avalanche;https://www.nhl.com/player/colin-wilson-8474569;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474569.jpg;22;C;L;"6'1""";215;10/20/89;Greenwich, CT, USA
Mark;Barberio;Avalanche;https://www.nhl.com/player/mark-barberio-8474717;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474717.jpg;44;D;L;"6'1""";200;03/23/90;Montreal, QC, CAN
Bowen;Byram;Avalanche;https://www.nhl.com/player/bowen-byram-8481524;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8481524.jpg;45;D;L;"6'1""";190;06/13/01;Cranbrook, BC, CAN
Ian;Cole;Avalanche;https://www.nhl.com/player/ian-cole-8474013;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474013.jpg;28;D;L;"6'1""";225;02/21/89;Ann Arbor, MI, USA
Kevin;Connauton;Avalanche;https://www.nhl.com/player/kevin-connauton-8475246;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475246.jpg;7;D;L;"6'2""";205;02/23/90;Edmonton, AB, CAN
Samuel;Girard;Avalanche;https://www.nhl.com/player/samuel-girard-8479398;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479398.jpg;49;D;L;"5'10""";170;05/12/98;Roberval, QC, CAN
Ryan;Graves;Avalanche;https://www.nhl.com/player/ryan-graves-8477435;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477435.jpg;27;D;L;"6'5""";220;05/21/95;Yarmouth, NS, CAN
Erik;Johnson;Avalanche;https://www.nhl.com/player/erik-johnson-8473446;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8473446.jpg;6;D;R;"6'4""";225;03/21/88;Bloomington, MN, USA
Anton;Lindholm;Avalanche;https://www.nhl.com/player/anton-lindholm-8478073;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478073.jpg;54;D;L;"5'11""";191;11/29/94;Skellefteå, SWE
Cale;Makar;Avalanche;https://www.nhl.com/player/cale-makar-8480069;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480069.jpg;8;D;R;"5'11""";187;10/30/98;Calgary, AB, CAN
Conor;Timmins;Avalanche;https://www.nhl.com/player/conor-timmins-8479982;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479982.jpg;20;D;R;"6'2""";185;09/18/98;St. Catharines, ON, CAN
Nikita;Zadorov;Avalanche;https://www.nhl.com/player/nikita-zadorov-8477507;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477507.jpg;16;D;L;"6'6""";235;04/16/95;Moscow, RUS
Pavel;Francouz;Avalanche;https://www.nhl.com/player/pavel-francouz-8480925;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480925.jpg;39;G;--;"6'0""";179;06/03/90;Plzen, CZE
Philipp;Grubauer;Avalanche;https://www.nhl.com/player/philipp-grubauer-8475831;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475831.jpg;31;G;--;"6'1""";188;11/25/91;Rosenheim, DEU
Michael;Hutchinson;Avalanche;https://www.nhl.com/player/michael-hutchinson-8474636;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474636.jpg;35;G;--;"6'3""";198;03/02/90;Barrie, ON, CAN
Hunter;Miska;Avalanche;https://www.nhl.com/player/hunter-miska-8480112;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480112.jpg;32;G;--;"6'1""";175;07/07/95;North Branch, MN, USA
Drake;Caggiula;Blackhawks;https://www.nhl.com/player/drake-caggiula-8479465;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479465.jpg;91;C;L;"5'10""";176;06/20/94;Pickering, ON, CAN
Ryan;Carpenter;Blackhawks;https://www.nhl.com/player/ryan-carpenter-8477846;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477846.jpg;22;C;R;"6'0""";200;01/18/91;Oviedo, FL, USA
Kirby;Dach;Blackhawks;https://www.nhl.com/player/kirby-dach-8481523;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8481523.jpg;77;C;R;"6'4""";197;01/21/01;Fort Saskatchewan, AB, CAN
Alex;DeBrincat;Blackhawks;https://www.nhl.com/player/alex-debrincat-8479337;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479337.jpg;12;LW;R;"5'7""";165;12/18/97;Farmington Hills, MI, USA
MacKenzie;Entwistle;Blackhawks;https://www.nhl.com/player/mackenzie-entwistle-8480025;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480025.jpg;58;RW;R;"6'3""";184;07/14/99;Georgetown, ON, CAN
Brandon;Hagel;Blackhawks;https://www.nhl.com/player/brandon-hagel-8479542;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479542.jpg;38;LW;L;"5'11""";174;08/27/98;Saskatoon, SK, CAN
Matthew;Highmore;Blackhawks;https://www.nhl.com/player/matthew-highmore-8478146;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478146.jpg;36;C;L;"5'11""";188;02/27/96;Halifax, NS, CAN
David;Kampf;Blackhawks;https://www.nhl.com/player/david-kampf-8480144;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480144.jpg;64;C;L;"6'2""";188;01/12/95;Chomutov, CZE
Patrick;Kane;Blackhawks;https://www.nhl.com/player/patrick-kane-8474141;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474141.jpg;88;RW;L;"5'10""";177;11/19/88;Buffalo, NY, USA
Dominik;Kubalik;Blackhawks;https://www.nhl.com/player/dominik-kubalik-8477330;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477330.jpg;8;LW;L;"6'2""";179;08/21/95;Plzen, CZE
Philipp;Kurashev;Blackhawks;https://www.nhl.com/player/philipp-kurashev-8480798;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480798.jpg;71;C;L;"6'0""";190;10/12/99;Munsingen, CHE
Alex;Nylander;Blackhawks;https://www.nhl.com/player/alex-nylander-8479423;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479423.jpg;92;LW;R;"6'1""";192;03/02/98;Calgary, AB, CAN
John;Quenneville;Blackhawks;https://www.nhl.com/player/john-quenneville-8477961;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477961.jpg;47;C;L;"6'1""";195;04/16/96;Edmonton, AB, CAN
Brandon;Saad;Blackhawks;https://www.nhl.com/player/brandon-saad-8476438;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476438.jpg;20;LW;L;"6'1""";206;10/27/92;Pittsburgh, PA, USA
Andrew;Shaw;Blackhawks;https://www.nhl.com/player/andrew-shaw-8476381;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476381.jpg;65;RW;R;"5'11""";182;07/20/91;Belleville, ON, CAN
Dylan;Strome;Blackhawks;https://www.nhl.com/player/dylan-strome-8478440;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478440.jpg;17;C;L;"6'3""";200;03/07/97;Mississauga, ON, CAN
Jonathan;Toews;Blackhawks;https://www.nhl.com/player/jonathan-toews-8473604;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8473604.jpg;19;C;L;"6'2""";201;04/29/88;Winnipeg, MB, CAN
Nicolas;Beaudin;Blackhawks;https://www.nhl.com/player/nicolas-beaudin-8480814;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480814.jpg;74;D;L;"5'11""";168;10/07/99;Chateauguay, QC, CAN
Adam;Boqvist;Blackhawks;https://www.nhl.com/player/adam-boqvist-8480871;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480871.jpg;27;D;R;"5'11""";179;08/15/00;Falun, SWE
Lucas;Carlsson;Blackhawks;https://www.nhl.com/player/lucas-carlsson-8479523;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479523.jpg;46;D;L;"6'0""";189;07/05/97;Gävle, SWE
Calvin;de Haan;Blackhawks;https://www.nhl.com/player/calvin-de-haan-8475177;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475177.jpg;44;D;L;"6'1""";195;05/09/91;Carp, ON, CAN
Duncan;Keith;Blackhawks;https://www.nhl.com/player/duncan-keith-8470281;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8470281.jpg;2;D;L;"6'1""";192;07/16/83;Winnipeg, MB, CAN
Slater;Koekkoek;Blackhawks;https://www.nhl.com/player/slater-koekkoek-8476886;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476886.jpg;68;D;L;"6'2""";193;02/18/94;Winchester, ON, CAN
Connor;Murphy;Blackhawks;https://www.nhl.com/player/connor-murphy-8476473;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476473.jpg;5;D;R;"6'4""";212;03/26/93;Dublin, OH, USA
Alec;Regula;Blackhawks;https://www.nhl.com/player/alec-regula-8480831;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480831.jpg;75;D;R;"6'4""";208;08/06/00;West Bloomfield, MI, USA
Brent;Seabrook;Blackhawks;https://www.nhl.com/player/brent-seabrook-8470607;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8470607.jpg;7;D;R;"6'3""";220;04/20/85;Richmond, BC, CAN
Nick;Seeler;Blackhawks;https://www.nhl.com/player/nick-seeler-8476372;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476372.jpg;55;D;L;"6'2""";201;06/03/93;Eden Prairie, MN, USA
Corey;Crawford;Blackhawks;https://www.nhl.com/player/corey-crawford-8470645;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8470645.jpg;50;G;--;"6'2""";216;12/31/84;Montreal, QC, CAN
Collin;Delia;Blackhawks;https://www.nhl.com/player/collin-delia-8480420;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480420.jpg;60;G;--;"6'2""";208;06/20/94;Rancho Cucamonga, CA, USA
Kevin;Lankinen;Blackhawks;https://www.nhl.com/player/kevin-lankinen-8480947;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480947.jpg;34;G;--;"6'2""";185;04/28/95;Helsinki, FIN
Malcolm;Subban;Blackhawks;https://www.nhl.com/player/malcolm-subban-8476876;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476876.jpg;30;G;--;"6'2""";215;12/21/93;Toronto, ON, CAN
Josh;Anderson;Blue Jackets;https://www.nhl.com/player/josh-anderson-8476981;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476981.jpg;77;RW;R;"6'3""";222;05/07/94;Burlington, ON, CAN
Cam;Atkinson;Blue Jackets;https://www.nhl.com/player/cam-atkinson-8474715;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474715.jpg;13;RW;R;"5'8""";175;06/05/89;Riverside, CT, USA
Oliver;Bjorkstrand;Blue Jackets;https://www.nhl.com/player/oliver-bjorkstrand-8477416;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477416.jpg;28;RW;R;"6'0""";177;04/10/95;Herning, DNK
Brandon;Dubinsky;Blue Jackets;https://www.nhl.com/player/brandon-dubinsky-8471273;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8471273.jpg;17;C;L;"6'2""";208;04/29/86;Anchorage, AK, USA
Pierre-Luc;Dubois;Blue Jackets;https://www.nhl.com/player/pierre-luc-dubois-8479400;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479400.jpg;18;C;L;"6'3""";218;06/24/98;Ste-Agathe-des-Monts, QC, CAN
Nick;Foligno;Blue Jackets;https://www.nhl.com/player/nick-foligno-8473422;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8473422.jpg;71;LW;L;"6'0""";208;10/31/87;Buffalo, NY, USA
Liam;Foudy;Blue Jackets;https://www.nhl.com/player/liam-foudy-8480853;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480853.jpg;19;C;L;"6'2""";182;02/04/00;Scarborough, ON, CAN
Nathan;Gerbe;Blue Jackets;https://www.nhl.com/player/nathan-gerbe-8471804;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8471804.jpg;24;C;L;"5'4""";169;07/24/87;Oxford, MI, USA
Boone;Jenner;Blue Jackets;https://www.nhl.com/player/boone-jenner-8476432;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476432.jpg;38;C;L;"6'2""";208;06/15/93;Dorchester, ON, CAN
Jakob;Lilja;Blue Jackets;https://www.nhl.com/player/jakob-lilja-8481650;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8481650.jpg;15;LW;L;"6'1""";196;07/23/93;Malmo, SWE
Stefan;Matteau;Blue Jackets;https://www.nhl.com/player/stefan-matteau-8476870;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476870.jpg;23;C;L;"6'2""";220;02/23/94;Chicago, IL, USA
Riley;Nash;Blue Jackets;https://www.nhl.com/player/riley-nash-8474062;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474062.jpg;20;C;R;"6'2""";185;05/09/89;Consort, AB, CAN
Gustav;Nyquist;Blue Jackets;https://www.nhl.com/player/gustav-nyquist-8474679;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474679.jpg;14;C;L;"5'11""";179;09/01/89;Halmstad, SWE
Eric;Robinson;Blue Jackets;https://www.nhl.com/player/eric-robinson-8480762;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480762.jpg;50;LW;L;"6'2""";197;06/14/95;Bellmawr, NJ, USA
Devin;Shore;Blue Jackets;https://www.nhl.com/player/devin-shore-8476913;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476913.jpg;74;C;L;"6'1""";206;07/19/94;Ajax, ON, CAN
Kevin;Stenlund;Blue Jackets;https://www.nhl.com/player/kevin-stenlund-8478831;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478831.jpg;11;C;R;"6'4""";209;09/20/96;Stockholm, SWE
Alexandre;Texier;Blue Jackets;https://www.nhl.com/player/alexandre-texier-8480074;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480074.jpg;42;C;L;"6'1""";192;09/13/99;St. Martin D'heres, FRA
Alexander;Wennberg;Blue Jackets;https://www.nhl.com/player/alexander-wennberg-8477505;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477505.jpg;10;C;L;"6'2""";197;09/22/94;Stockholm, SWE
Gabriel;Carlsson;Blue Jackets;https://www.nhl.com/player/gabriel-carlsson-8478506;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478506.jpg;53;D;L;"6'5""";192;01/02/97;Orebro, SWE
Vladislav;Gavrikov;Blue Jackets;https://www.nhl.com/player/vladislav-gavrikov-8478882;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478882.jpg;44;D;L;"6'3""";213;11/21/95;Yaroslavl, RUS
Scott;Harrington;Blue Jackets;https://www.nhl.com/player/scott-harrington-8476449;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476449.jpg;4;D;L;"6'2""";204;03/10/93;Kingston, ON, CAN
Seth;Jones;Blue Jackets;https://www.nhl.com/player/seth-jones-8477495;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477495.jpg;3;D;R;"6'4""";209;10/03/94;Arlington, TX, USA
Dean;Kukan;Blue Jackets;https://www.nhl.com/player/dean-kukan-8478567;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478567.jpg;46;D;L;"6'2""";192;07/08/93;Volketswil, CHE
Ryan;Murray;Blue Jackets;https://www.nhl.com/player/ryan-murray-8476850;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476850.jpg;27;D;L;"6'1""";206;09/27/93;Regina, SK, CAN
Markus;Nutivaara;Blue Jackets;https://www.nhl.com/player/markus-nutivaara-8478906;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478906.jpg;65;D;L;"6'1""";187;06/06/94;Oulu, FIN
Andrew;Peeke;Blue Jackets;https://www.nhl.com/player/andrew-peeke-8479369;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479369.jpg;2;D;R;"6'3""";194;03/17/98;Parkland, FL, USA
David;Savard;Blue Jackets;https://www.nhl.com/player/david-savard-8475233;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475233.jpg;58;D;R;"6'2""";229;10/22/90;St. Hyacinthe, QC, CAN
Zach;Werenski;Blue Jackets;https://www.nhl.com/player/zach-werenski-8478460;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478460.jpg;8;D;L;"6'2""";212;07/19/97;Grosse Pointe, MI, USA
Matiss;Kivlenieks;Blue Jackets;https://www.nhl.com/player/matiss-kivlenieks-8480162;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480162.jpg;80;G;--;"6'2""";178;08/26/96;Riga, LVA
Joonas;Korpisalo;Blue Jackets;https://www.nhl.com/player/joonas-korpisalo-8476914;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476914.jpg;70;G;--;"6'3""";191;04/28/94;Pori, FIN
Elvis;Merzlikins;Blue Jackets;https://www.nhl.com/player/elvis-merzlikins-8478007;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478007.jpg;90;G;--;"6'3""";181;04/13/94;Riga, LVA
Ivan;Barbashev;Blues;https://www.nhl.com/player/ivan-barbashev-8477964;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477964.jpg;49;C;L;"6'0""";187;12/14/95;Moscow, RUS
Sammy;Blais;Blues;https://www.nhl.com/player/sammy-blais-8478104;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478104.jpg;9;LW;L;"6'2""";205;06/17/96;Montmagny, QC, CAN
Tyler;Bozak;Blues;https://www.nhl.com/player/tyler-bozak-8475098;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475098.jpg;21;C;R;"6'1""";199;03/19/86;Regina, SK, CAN
Troy;Brouwer;Blues;https://www.nhl.com/player/troy-brouwer-8471426;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8471426.jpg;36;RW;R;"6'3""";213;08/17/85;Vancouver, BC, CAN
Jacob;de la Rose;Blues;https://www.nhl.com/player/jacob-de-la-rose-8477455;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477455.jpg;61;LW;L;"6'3""";215;05/20/95;Arvika, SWE
Jordan;Kyrou;Blues;https://www.nhl.com/player/jordan-kyrou-8479385;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479385.jpg;33;C;R;"6'0""";175;05/05/98;Toronto, ON, CAN
Mackenzie;MacEachern;Blues;https://www.nhl.com/player/mackenzie-maceachern-8476907;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476907.jpg;28;LW;L;"6'2""";190;03/09/94;Bloomfield Hills, MI, USA
Ryan;O'Reilly;Blues;https://www.nhl.com/player/ryan-o-reilly-8475158;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475158.jpg;90;C;L;"6'1""";216;02/07/91;Clinton, ON, CAN
David;Perron;Blues;https://www.nhl.com/player/david-perron-8474102;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474102.jpg;57;LW;R;"6'0""";200;05/28/88;Sherbrooke, QC, CAN
Austin;Poganski;Blues;https://www.nhl.com/player/austin-poganski-8478040;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478040.jpg;53;RW;R;"6'1""";198;02/16/96;St. Cloud, MN, USA
Zach;Sanford;Blues;https://www.nhl.com/player/zach-sanford-8477482;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477482.jpg;12;LW;L;"6'4""";207;11/09/94;Salem, MA, USA
Brayden;Schenn;Blues;https://www.nhl.com/player/brayden-schenn-8475170;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475170.jpg;10;C;L;"6'1""";200;08/22/91;Saskatoon, SK, CAN
Jaden;Schwartz;Blues;https://www.nhl.com/player/jaden-schwartz-8475768;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475768.jpg;17;LW;L;"5'10""";190;06/25/92;Wilcox, SK, CAN
Alexander;Steen;Blues;https://www.nhl.com/player/alexander-steen-8470257;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8470257.jpg;20;LW;L;"6'0""";211;03/01/84;Winnipeg, MB, CAN
Oskar;Sundqvist;Blues;https://www.nhl.com/player/oskar-sundqvist-8476897;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476897.jpg;70;C;R;"6'3""";209;03/23/94;Boden, SWE
Vladimir;Tarasenko;Blues;https://www.nhl.com/player/vladimir-tarasenko-8475765;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475765.jpg;91;RW;L;"6'0""";225;12/13/91;Yaroslavl, RUS
Robert;Thomas;Blues;https://www.nhl.com/player/robert-thomas-8480023;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480023.jpg;18;C;R;"6'0""";188;07/02/99;Aurora, ON, CAN
Robert;Bortuzzo;Blues;https://www.nhl.com/player/robert-bortuzzo-8474145;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474145.jpg;41;D;R;"6'4""";216;03/18/89;Thunder Bay, ON, CAN
Jay;Bouwmeester;Blues;https://www.nhl.com/player/jay-bouwmeester-8470151;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8470151.jpg;19;D;L;"6'4""";206;09/27/83;Edmonton, AB, CAN
Vince;Dunn;Blues;https://www.nhl.com/player/vince-dunn-8478407;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478407.jpg;29;D;L;"6'0""";203;10/29/96;Mississauga, ON, CAN
Justin;Faulk;Blues;https://www.nhl.com/player/justin-faulk-8475753;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475753.jpg;72;D;R;"6'0""";217;03/20/92;South St. Paul, MN, USA
Carl;Gunnarsson;Blues;https://www.nhl.com/player/carl-gunnarsson-8474125;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474125.jpg;4;D;L;"6'2""";198;11/09/86;Orebro, SWE
Niko;Mikkola;Blues;https://www.nhl.com/player/niko-mikkola-8478859;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478859.jpg;77;D;L;"6'4""";185;04/27/96;Finland, FIN
Colton;Parayko;Blues;https://www.nhl.com/player/colton-parayko-8476892;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476892.jpg;55;D;R;"6'6""";230;05/12/93;St. Albert, AB, CAN
Alex;Pietrangelo;Blues;https://www.nhl.com/player/alex-pietrangelo-8474565;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474565.jpg;27;D;R;"6'3""";210;01/18/90;King City, ON, CAN
Derrick;Pouliot;Blues;https://www.nhl.com/player/derrick-pouliot-8476884;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476884.jpg;51;D;L;"6'0""";196;01/16/94;Estevan, SK, CAN
Marco;Scandella;Blues;https://www.nhl.com/player/marco-scandella-8474618;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474618.jpg;6;D;L;"6'3""";212;02/23/90;Montreal, QC, CAN
Jake;Walman;Blues;https://www.nhl.com/player/jake-walman-8478013;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478013.jpg;46;D;L;"6'1""";170;02/20/96;Toronto, ON, CAN
Jordan;Binnington;Blues;https://www.nhl.com/player/jordan-binnington-8476412;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476412.jpg;50;G;--;"6'1""";174;07/11/93;Richmond Hill, ON, CAN
Ville;Husso;Blues;https://www.nhl.com/player/ville-husso-8478024;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478024.jpg;35;G;--;"6'3""";205;02/06/95;Helsinki, FIN
Patrice;Bergeron;Bruins;https://www.nhl.com/player/patrice-bergeron-8470638;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8470638.jpg;37;C;R;"6'1""";195;07/24/85;Ancienne-Lorette, QC, CAN
